Angle,Length,Ht_E,UW_E,Ht_SS,Void Ratio,UW_SS,Lamda,Kappa,PR,FA,OCR,Permeability,After 30d
3,10,5,20,9,0.788,18.58,0.0576,0.0106,0.36,5,3.5,9,40
3,10,5,20,9,0.589,18.38,0.0425,0.016,0.36,5,2.8,9,66
3,10,5,20,9,0.815,20,0.066,0.029,0.36,5,1,9,109
3,10,5,20,9,0.949,18.11,0.127,0.05,0.36,5,1.5,9,159
3,10,5,20,9,2,15,0.217,0.0276,0.35,5,7.5,8.958607315,65
3,10,5,20,9,2,15,0.217,0.027,0.34,6,5.5,8.823908741,64
3,10,5,20,9,2,14.8,0.261,0.035,0.36,7,3.5,8.22184875,103
3,10,5,20,9,2.2,14.5,0.304,0.06,0.37,8,1.8,8.013228266,213
3,10,5,20,9,2.1,14.5,0.304,0.06,0.37,4,1,8.698970004,219
1,10,5,19,9,0.788,18.58,0.0576,0.0106,0.36,5,3.5,9,55
1,10,5,19,9,0.589,18.38,0.0425,0.016,0.36,5,2.8,9,102
1,10,5,19,9,0.815,20,0.066,0.029,0.36,5,1,9,350
1,10,5,19,9,0.949,18.11,0.127,0.05,0.36,5,1.5,9,321
1,10,5,19,9,2,15,0.217,0.0276,0.35,5,7.5,8.958607315,87
1,10,5,19,9,2,15,0.217,0.027,0.34,6,5.5,8.823908741,85
1,10,5,19,9,2,14.8,0.261,0.035,0.36,7,3.5,8.22184875,138
1,10,5,19,9,2.2,14.5,0.304,0.06,0.37,8,1.8,8.013228266,393
1,10,5,19,9,2.1,14.5,0.304,0.06,0.37,4,1,8.698970004,583
1,10,5,18,4,0.788,18.58,0.0576,0.0106,0.36,5,3.5,9,33
1,10,5,18,4,0.589,18.38,0.0425,0.016,0.36,5,2.8,9,60
1,10,5,18,4,0.815,20,0.066,0.029,0.36,5,1,9,197
1,10,5,18,4,0.949,18.11,0.127,0.05,0.36,5,1.5,9,159
1,10,5,18,4,2,15,0.217,0.0276,0.35,5,7.5,8.958607315,46
1,10,5,18,4,2,15,0.217,0.027,0.34,6,5.5,8.823908741,46
1,10,5,18,4,2,14.8,0.261,0.035,0.36,7,3.5,8.22184875,80
1,10,5,18,4,2.2,14.5,0.304,0.06,0.37,8,1.8,8.013228266,242
