Angle,Length,Ht_E,UW_E,Ht_SS,Void Ratio,UW_SS,Lamda,Kappa,PR,FA,OCR,Permeability,After 1 year
3,10,5,20,9,0.788,18.58,0.0576,0.0106,0.36,5,3.5,9,54
3,10,5,20,9,0.589,18.38,0.0425,0.016,0.36,5,2.8,9,93
3,10,5,20,9,0.815,20,0.066,0.029,0.36,5,1,9,163
3,10,5,20,9,0.949,18.11,0.127,0.05,0.36,5,1.5,9,243
3,10,5,20,9,2,15,0.217,0.0276,0.35,5,7.5,8.958607315,92
3,10,5,20,9,2,15,0.217,0.027,0.34,6,5.5,8.823908741,89
3,10,5,20,9,2,14.8,0.261,0.035,0.36,7,3.5,8.22184875,150
3,10,5,20,9,2.2,14.5,0.304,0.06,0.37,8,1.8,8.013228266,320
3,10,5,20,9,2.1,14.5,0.304,0.06,0.37,4,1,8.698970004,296
1,10,5,19,9,0.788,18.58,0.0576,0.0106,0.36,5,3.5,9,62
1,10,5,19,9,0.589,18.38,0.0425,0.016,0.36,5,2.8,9,115
1,10,5,19,9,0.815,20,0.066,0.029,0.36,5,1,9,401
1,10,5,19,9,0.949,18.11,0.127,0.05,0.36,5,1.5,9,375
1,10,5,19,9,2,15,0.217,0.0276,0.35,5,7.5,8.958607315,103
1,10,5,19,9,2,15,0.217,0.027,0.34,6,5.5,8.823908741,99
1,10,5,19,9,2,14.8,0.261,0.035,0.36,7,3.5,8.22184875,155
1,10,5,19,9,2.2,14.5,0.304,0.06,0.37,8,1.8,8.013228266,464
1,10,5,19,9,2.1,14.5,0.304,0.06,0.37,4,1,8.698970004,669
1,10,5,18,4,0.788,18.58,0.0576,0.0106,0.36,5,3.5,9,43
1,10,5,18,4,0.589,18.38,0.0425,0.016,0.36,5,2.8,9,78
1,10,5,18,4,0.815,20,0.066,0.029,0.36,5,1,9,254
1,10,5,18,4,0.949,18.11,0.127,0.05,0.36,5,1.5,9,246
1,10,5,18,4,2,15,0.217,0.0276,0.35,5,7.5,8.958607315,70
1,10,5,18,4,2,15,0.217,0.027,0.34,6,5.5,8.823908741,68
1,10,5,18,4,2,14.8,0.261,0.035,0.36,7,3.5,8.22184875,100
1,10,5,18,4,2.2,14.5,0.304,0.06,0.37,8,1.8,8.013228266,320
1,10,5,18,4,2.1,14.5,0.304,0.06,0.37,4,1,8.698970004,389
